country,code,births_2026,share_of_africa_aggregate_2026_percent
Nigeria,NGA,7711752,16.21
Democratic Republic of Congo,COD,4634979,9.75
Ethiopia,ETH,4213081,8.86
Tanzania,TZA,2459538,5.17
Egypt,EGY,2459317,5.17
Uganda,UGA,1746979,3.67
Sudan,SDN,1694024,3.56
Kenya,KEN,1558303,3.28
Angola,AGO,1461075,3.07
Mozambique,MOZ,1323752,2.78
South Africa,ZAF,1167803,2.46
Niger,NER,1157021,2.43
Madagascar,MDG,1033723,2.17
Cote d'Ivoire,CIV,1028953,2.16
Mali,MLI,1005407,2.11
Cameroon,CMR,991664,2.08
Chad,TCD,909765,1.91
Ghana,GHA,903735,1.90
Somalia,SOM,836420,1.76
Algeria,DZA,832197,1.75
Burkina Faso,BFA,747913,1.57
Zambia,ZMB,721060,1.52
Malawi,MWI,692256,1.46
Morocco,MAR,613838,1.29
Senegal,SEN,554508,1.17
Zimbabwe,ZWE,505305,1.06
Guinea,GIN,497357,1.05
Benin,BEN,494197,1.04
Burundi,BDI,471624,0.99
Rwanda,RWA,409278,0.86
South Sudan,SSD,365962,0.77
Togo,TGO,299393,0.63
Sierra Leone,SLE,261328,0.55
Central African Republic,CAF,254783,0.54
Congo,COG,198689,0.42
Mauritania,MRT,181311,0.38
Liberia,LBR,174971,0.37
Tunisia,TUN,156979,0.33
Libya,LBY,118954,0.25
Eritrea,ERI,105398,0.22
Gambia,GMB,82634,0.17
Namibia,NAM,78927,0.17
Gabon,GAB,69484,0.15
Guinea-Bissau,GNB,66031,0.14
Botswana,BWA,60884,0.13
Equatorial Guinea,GNQ,57895,0.12
Lesotho,LSO,55312,0.12
Eswatini,SWZ,29062,0.06
Comoros,COM,24599,0.05
Djibouti,DJI,24494,0.05
Mauritius,MUS,11254,0.02
Sao Tome and Principe,STP,6777,0.01
Cape Verde,CPV,6330,0.01
Seychelles,SYC,1786,0.00
