year,africa_fertility_rate,world_fertility_rate
1950,6.437,4.852
1951,6.451,4.816
1952,6.464,5.001
1953,6.483,4.922
1954,6.493,4.998
1955,6.506,5.003
1956,6.519,4.931
1957,6.531,5.068
1958,6.544,4.932
1959,6.551,4.740
1960,6.562,4.696
1961,6.573,4.571
1962,6.588,5.022
1963,6.597,5.308
1964,6.600,5.123
1965,6.597,5.071
1966,6.607,4.961
1967,6.609,4.852
1968,6.609,4.963
1969,6.607,4.866
1970,6.608,4.825
1971,6.617,4.679
1972,6.617,4.545
1973,6.610,4.416
1974,6.609,4.259
1975,6.607,4.080
1976,6.603,3.974
1977,6.592,3.850
1978,6.566,3.787
1979,6.546,3.771
1980,6.515,3.744
1981,6.474,3.711
1982,6.434,3.712
1983,6.393,3.581
1984,6.325,3.553
1985,6.257,3.515
1986,6.184,3.504
1987,6.113,3.476
1988,6.037,3.390
1989,5.949,3.347
1990,5.854,3.310
1991,5.775,3.131
1992,5.697,3.044
1993,5.625,2.980
1994,5.527,2.933
1995,5.463,2.889
1996,5.387,2.846
1997,5.315,2.809
1998,5.252,2.776
1999,5.207,2.750
2000,5.163,2.754
2001,5.121,2.714
2002,5.078,2.684
2003,5.046,2.659
2004,5.024,2.647
2005,5.009,2.630
2006,4.985,2.625
2007,4.958,2.623
2008,4.941,2.626
2009,4.902,2.621
2010,4.867,2.602
2011,4.821,2.588
2012,4.775,2.607
2013,4.719,2.572
2014,4.669,2.564
2015,4.609,2.537
2016,4.530,2.536
2017,4.465,2.504
2018,4.374,2.437
2019,4.297,2.397
2020,4.225,2.322
2021,4.163,2.291
2022,4.109,2.265
2023,4.056,2.251
2024,4.001,2.248
2025,3.939,2.239
2026,3.878,2.230
2027,3.817,2.221
2028,3.759,2.213
2029,3.702,2.204
2030,3.643,2.196
2031,3.587,2.187
2032,3.530,2.178
2033,3.476,2.169
2034,3.424,2.161
2035,3.371,2.153
2036,3.323,2.146
2037,3.272,2.139
2038,3.228,2.134
2039,3.185,2.129
2040,3.143,2.127
2041,3.102,2.123
2042,3.063,2.121
2043,3.025,2.120
2044,2.987,2.118
2045,2.950,2.116
2046,2.916,2.113
2047,2.883,2.109
2048,2.850,2.106
2049,2.819,2.101
2050,2.789,2.097
2051,2.760,2.091
2052,2.734,2.085
2053,2.706,2.079
2054,2.680,2.072
2055,2.654,2.065
2056,2.629,2.058
2057,2.606,2.051
2058,2.584,2.044
2059,2.562,2.037
2060,2.540,2.030
2061,2.519,2.022
2062,2.498,2.016
2063,2.477,2.009
2064,2.457,2.002
2065,2.438,1.996
2066,2.420,1.990
2067,2.403,1.984
2068,2.386,1.978
2069,2.369,1.972
2070,2.352,1.967
2071,2.337,1.962
2072,2.321,1.957
2073,2.306,1.952
2074,2.291,1.947
2075,2.276,1.943
2076,2.263,1.939
2077,2.249,1.935
2078,2.235,1.930
2079,2.222,1.926
2080,2.209,1.922
2081,2.197,1.917
2082,2.187,1.914
2083,2.175,1.909
2084,2.165,1.905
2085,2.154,1.901
2086,2.143,1.896
2087,2.133,1.892
2088,2.123,1.888
2089,2.113,1.883
2090,2.103,1.879
2091,2.094,1.874
2092,2.084,1.870
2093,2.076,1.866
2094,2.067,1.861
2095,2.059,1.857
2096,2.051,1.853
2097,2.042,1.849
2098,2.035,1.845
2099,2.027,1.842
2100,2.020,1.838
